X62n1211_001:0827b17	子。但話團欒水一方。	子 但 話 團 欒 水 一 方 
X62n1211_001:0827b18	甓社湖中滯遠行。風饕雪虐浪頻驚。輪珠一串隨他	甓 社 湖 中 滯 遠 行 風 饕 雪 虐 浪 頻 驚 輪 珠 一 串 隨 他 
X62n1211_001:0827b19	去。不向涂中問死生。	去 不 向 涂 中 問 死 生 
X62n1211_001:0827b20	輪蹏南北幾曾休。極目殘陽古渡頭。銷盡英雄無限	輪 蹏 南 北 幾 曾 休 極 目 殘 陽 古 渡 頭 銷 盡 英 雄 無 限 
X62n1211_001:0827b21	淚。黃河依舊向東流。	淚 黃 河 依 舊 向 東 流 
X62n1211_001:0827b22	櫪馬羣中警鐸聲。依然蓮漏六時清。如鉤月挂東牆	櫪 馬 羣 中 警 鐸 聲 依 然 蓮 漏 六 時 清 如 鉤 月 挂 東 牆 
X62n1211_001:0827b23	上。照我無眠到五更。	上 照 我 無 眠 到 五 更 
X62n1211_001:0827b24	沂水城邊綠樹陰。昔年吾友此披襟。東風吹斷黃鸝	沂 水 城 邊 綠 樹 陰 昔 年 吾 友 此 披 襟 東 風 吹 斷 黃 鸝 
X62n1211_001:0827c01	語。惆悵堂前草又深(薛家三曾主沂州書院)。	語 惆 悵 堂 前 草 又 深 薛 家 三 曾 主 沂 州 書 院 
X62n1211_001:0827c02	道左謳吟識去思。野無荒瘠物無疵。南園風月今如	道 左 謳 吟 識 去 思 野 無 荒 瘠 物 無 疵 南 園 風 月 今 如 
X62n1211_001:0827c03	許。零落山丘又一時(伯兄官新城汶上興水利有效)。	許 零 落 山 丘 又 一 時 伯 兄 官 新 城 汶 上 興 水 利 有 效 
X62n1211_001:0827c04	五岳山人足跡茫。吟風弄月太顛狂。天邊鶴去重回	五 岳 山 人 足 跡 茫 吟 風 弄 月 太 顛 狂 天 邊 鶴 去 重 回 
X62n1211_001:0827c05	首。清終西湖照影涼(曾謁桑弢甫先生於濼原書院既歸杭州而卒曾徧遊五岳因	首 清 終 西 湖 照 影 涼 曾 謁 桑 弢 甫 先 生 於 濼 原 書 院 既 歸 杭 州 而 卒 曾 徧 遊 五 岳 因 
X62n1211_001:0827c06	以自號)。	以 自 號 
X62n1211_001:0827c07	程符山下有精廬。惠我頻煩尺素書。會得紫陽詩句	程 符 山 下 有 精 廬 惠 我 頻 煩 尺 素 書 會 得 紫 陽 詩 句 
X62n1211_001:0827c08	好。東風消息近何如(程符為韓公復讀書處)。	好 東 風 消 息 近 何 如 程 符 為 韓 公 復 讀 書 處 
X62n1211_001:0827c09	冰雪文章石屋詩。山居點筆夢回時。聲聲唱入長安	冰 雪 文 章 石 屋 詩 山 居 點 筆 夢 回 時 聲 聲 唱 入 長 安 
X62n1211_001:0827c10	道。脚下何曾罥一絲(車中日誦石屋詩數首)。	道 脚 下 何 曾 罥 一 絲 車 中 日 誦 石 屋 詩 數 首 
X62n1211_001:0827c11	過梁谿懷高忠憲	過 梁 谿 懷 高 忠 憲 
X62n1211_001:0827c12	驀地知歸快此生。曲肱飲水自忘情。浮雲不改青山	驀 地 知 歸 快 此 生 曲 肱 飲 水 自 忘 情 浮 雲 不 改 青 山 
X62n1211_001:0827c13	色。漫向江頭弔屈平。	色 漫 向 江 頭 弔 屈 平 
X62n1211_001:0827c14	臨行一句少知音。水閣曾經宴坐深。滿院春風關不	臨 行 一 句 少 知 音 水 閣 曾 經 宴 坐 深 滿 院 春 風 關 不 
X62n1211_001:0827c15	住。華香狼籍到如今(公末後與人書云心如太虛本無生死)。	住 華 香 狼 籍 到 如 今 公 末 後 與 人 書 云 心 如 太 虛 本 無 生 死 
X62n1211_001:0827c16	寄臺山	寄 臺 山 
X62n1211_001:0827c17	積骨如山淚如海。纏綿愛網柰伊何。從今下得蓮華	積 骨 如 山 淚 如 海 纏 綿 愛 網 柰 伊 何 從 今 下 得 蓮 華 
X62n1211_001:0827c18	種。月度長空影在波。	種 月 度 長 空 影 在 波 
X62n1211_001:0827c19	無邊春色滿柴門。歷劫難酬雨露恩。一炷爐香一聲	無 邊 春 色 滿 柴 門 歷 劫 難 酬 雨 露 恩 一 炷 爐 香 一 聲 
X62n1211_001:0827c20	佛。海潮音裏度朝昏。	佛 海 潮 音 裏 度 朝 昏 
X62n1211_001:0827c21	高旻寺裏尋春去。消夏灣頭看月來。到處江山常寂	高 旻 寺 裏 尋 春 去 消 夏 灣 頭 看 月 來 到 處 江 山 常 寂 
