X64n1271_001:0779a21	　頑劣消除已轉頭　　不加鞭逼性相柔	 頑 劣 消 除 已 轉 頭 不 加 鞭 逼 性 相 柔 
X64n1271_001:0779a22	　牧童未敢憑他意　　還把繩頭緊繫留	 牧 童 未 敢 憑 他 意 還 把 繩 頭 緊 繫 留 
X64n1271_001:0779a23	馴伏	馴 伏 
X64n1271_001:0779a24	　萬木叢中芳草邊　　芒繩釋去意翛然	 萬 木 叢 中 芳 草 邊 芒 繩 釋 去 意 翛 然 
X64n1271_001:0779b01	　夕陽影裡歸鴉噪　　牛自相隨不用牽	 夕 陽 影 裡 歸 鴉 噪 牛 自 相 隨 不 用 牽 
X64n1271_001:0779b02	無碍	無 碍 
X64n1271_001:0779b03	　皤白渾身性自如　　海天空濶不相拘	 皤 白 渾 身 性 自 如 海 天 空 濶 不 相 拘 
X64n1271_001:0779b04	　牧童閒倚松邊石　　短笛頻吹興有餘	 牧 童 閒 倚 松 邊 石 短 笛 頻 吹 興 有 餘 
X64n1271_001:0779b05	任運	任 運 
X64n1271_001:0779b06	　千條溪畔萬山中　　飡飲隨時飽綠茸	 千 條 溪 畔 萬 山 中 飡 飲 隨 時 飽 綠 茸 
X64n1271_001:0779b07	　牧子從教無個事　　鼾鼾枕臂不知濃	 牧 子 從 教 無 個 事 鼾 鼾 枕 臂 不 知 濃 
X64n1271_001:0779b08	相忘	相 忘 
X64n1271_001:0779b09	　是處雲山牛在中　　兩無心意月相同	 是 處 雲 山 牛 在 中 兩 無 心 意 月 相 同 
X64n1271_001:0779b10	　碧天影落溪流急　　任爾縱橫西復東	 碧 天 影 落 溪 流 急 任 爾 縱 橫 西 復 東 
X64n1271_001:0779b11	獨照	獨 照 
X64n1271_001:0779b12	　生涯喪盡一身閒　　明月光騰古木間	 生 涯 喪 盡 一 身 閒 明 月 光 騰 古 木 間 
X64n1271_001:0779b13	　歌罷一聲歸去晚　　芒鞋踏破隔鄉關	 歌 罷 一 聲 歸 去 晚 芒 鞋 踏 破 隔 鄉 關 
X64n1271_001:0779b14	雙泯	雙 泯 
X64n1271_001:0779b15	　廓然空絕兩無踪　　寶月孤懸照碧空	 廓 然 空 絕 兩 無 踪 寶 月 孤 懸 照 碧 空 
X64n1271_001:0779b16	　個事不須重借問　　子規聲斷落花叢	 個 事 不 須 重 借 問 子 規 聲 斷 落 花 叢 
X64n1271_001:0779b17	東塔浮石禪師和牧牛圖頌(師諱通賢)	東 塔 浮 石 禪 師 和 牧 牛 圖 頌 師 諱 通 賢 
X64n1271_001:0779b18	未牧	未 牧 
X64n1271_001:0779b19	　蹉過聲前這一哮　　反生邊見歷途遙	 蹉 過 聲 前 這 一 哮 反 生 邊 見 歷 途 遙 
X64n1271_001:0779b20	　披毛帶角渾無慮　　糞草何曾識稼苗	 披 毛 帶 角 渾 無 慮 糞 草 何 曾 識 稼 苗 
X64n1271_001:0779b21	初調	初 調 
X64n1271_001:0779b22	　纔識牛兮鼻已穿　　翻然自肯苦加鞭	 纔 識 牛 兮 鼻 已 穿 翻 然 自 肯 苦 加 鞭 
X64n1271_001:0779b23	　暫詩不在頻偷走　　猶把芒繩緊緊牽	 暫 詩 不 在 頻 偷 走 猶 把 芒 繩 緊 緊 牽 
X64n1271_001:0779b24	受制	受 制 
