T54n2135_001:1226a14	打　比嶶(而上反)　 	打 比 嶶 而 上 反 
T54n2135_001:1226a15	駈使　揭刺麼迦羅　    	駈 使 揭 刺 麼 迦 羅 
T54n2135_001:1226a16	執　旨麼[款欠+余]羅訶　     	執 旨 麼 [款欠余] 羅 訶 
T54n2135_001:1226a17	研　設始　  	研 設 始 
T54n2135_001:1226a18	破　薜陀又朅拏　  ‧  	破 薜 陀 又 朅 拏 
T54n2135_001:1226a19	縛　畔陀　  	縛 畔 陀 
T54n2135_001:1226a20	牢　頴施也又涅鞞達儞　  ‧    	牢 頴 施 也 又 涅 鞞 達 儞 
T54n2135_001:1226a21	押　比始　  	押 比 始 
T54n2135_001:1226a22	推　儞瑟迦悉多　    	推 儞 瑟 迦 悉 多 
T54n2135_001:1226a23	移　散柘羅　   	移 散 柘 羅 
T54n2135_001:1226a24	打碎　畔闍　  	打 碎 畔 闍 
T54n2135_001:1226a25	擊　跛羅訶儞　   	擊 跛 羅 訶 儞 
T54n2135_001:1226b01	吹　布囉以　   	吹 布 囉 以 
T54n2135_001:1226b02	殺　鉢囉拏底　   	殺 鉢 囉 拏 底 
T54n2135_001:1226b03	打　賀曩　  	打 賀 曩 
T54n2135_001:1226b04	燒　諾賀　  	燒 諾 賀 
T54n2135_001:1226b05	煮　跛者抳　   	煮 跛 者 抳 
T54n2135_001:1226b06	破　(前已有之)	破 前 已 有 之 
T54n2135_001:1226b07	斷　吒捺娜儞底　     	斷 吒 捺 娜 儞 底 
T54n2135_001:1226b08	施設　鉢羅駄曩比也帝　     	施 設 鉢 羅 駄 曩 比 也 帝 
T54n2135_001:1226b09	縛　滿駄又縛訶　  ‧  	縛 滿 駄 又 縛 訶 
T54n2135_001:1226b10	放　弭里又誐車底　 ‧   	放 弭 里 又 誐 車 底 
T54n2135_001:1226b11	痛　戍攞　  	痛 戍 攞 
T54n2135_001:1226b12	滅　尾娜捨　   	滅 尾 娜 捨 
T54n2135_001:1226b13	可　阿縛悉衍　   	可 阿 縛 悉 衍 
T54n2135_001:1226b14	助　娑訶也　   	助 娑 訶 也 
T54n2135_001:1226b15	脩造　喻馹曩　   	脩 造 喻 馹 曩 
T54n2135_001:1226b16	護　跛攞　  	護 跛 攞 
T54n2135_001:1226b17	世　路迦　  	世 路 迦 
T54n2135_001:1226b18	快　素悌　  	快 素 悌 
T54n2135_001:1226b19	暖　烏瑟拏(二合)　  	暖 烏 瑟 拏 二 合 
T54n2135_001:1226b20	寒　世多　  	寒 世 多 
T54n2135_001:1226b21	勢　嗢訶可又捺沙訶　   ‧   	勢 嗢 訶 可 又 捺 沙 訶 
T54n2135_001:1226b22	力　麼攞　  	力 麼 攞 
T54n2135_001:1226b23	弱　納喇麼羅　    	弱 納 喇 麼 羅 
T54n2135_001:1226b24	熱　馹嚩囉　  	熱 馹 嚩 囉 
T54n2135_001:1226b25	生	生 
T54n2135_001:1226c01	熟　鉢訖縛　  	熟 鉢 訖 縛 
T54n2135_001:1226c02	癢　迦拏姹(二合)迦　   	癢 迦 拏 姹 二 合 迦 
T54n2135_001:1226c03	病　弭也(引)地　  	病 弭 也 引 地 
T54n2135_001:1226c04	差　薩者(二合)悉底(二合)　  	差 薩 者 二 合 悉 底 二 合 
T54n2135_001:1226c05	瘡　瑟車　 	瘡 瑟 車 
T54n2135_001:1226c06	養　跛里嚩羅　    	養 跛 里 嚩 羅 
T54n2135_001:1226c07	務　迦羅抳　   	務 迦 羅 抳 
T54n2135_001:1226c08	坐　妹(無背反)捨又儞沙儞也　  ‧   	坐 妹 無 背 反 捨 又 儞 沙 儞 也 
T54n2135_001:1226c09	起　烏怛他(二合)　  	起 烏 怛 他 二 合 
T54n2135_001:1226c10	臥　勢耶　  	臥 勢 耶 
T54n2135_001:1226c11	敬　麌嚕　  	敬 麌 嚕 
T54n2135_001:1226c12	合掌　建捨諾佶指　    	合 掌 建 捨 諾 佶 指 
T54n2135_001:1226c13	合十指　沙禪里　   	合 十 指 沙 禪 里 
T54n2135_001:1226c14	馳　喏嚩　  	馳 喏 嚩 
T54n2135_001:1226c15	隨　努揭哆　   	隨 努 揭 哆 
T54n2135_001:1226c16	行　薩怛麼又阿柘囉　   ‧   	行 薩 怛 麼 又 阿 柘 囉 
T54n2135_001:1226c17	走　駄(引)嚩　  	走 駄 引 嚩 
T54n2135_001:1226c18	住　底瑟吒(二合)又悉地哆　  ‧  	住 底 瑟 吒 二 合 又 悉 地 哆 
T54n2135_001:1226c19	禮　末捺南又末儞弟(古言和南)　   	禮 末 捺 南 又 末 儞 弟 古 言 和 南 
T54n2135_001:1226c21	得　鉢羅鉢多　  	得 鉢 羅 鉢 多 
T54n2135_001:1226c22	德　麌囔　  	德 麌 囔 
T54n2135_001:1226c23	立　烏設囉(二合)掣　   	立 烏 設 囉 二 合 掣 
T54n2135_001:1226c24	在	在 
T54n2135_001:1226c25	位　阿掣　  	位 阿 掣 
T54n2135_001:1227a01	催　始佉覽　  	催 始 佉 覽 
T54n2135_001:1227a02	策　野曩(亦乘也)　  	策 野 曩 亦 乘 也 
T54n2135_001:1227a03	取　疑叨訖囔　  	取 疑 叨 訖 囔 
T54n2135_001:1227a04	往　夜底　  	往 夜 底 
T54n2135_001:1227a05	遣　散畢禮史哆　    	遣 散 畢 禮 史 哆 
T54n2135_001:1227a06	能　設枳也　  	能 設 枳 也 
T54n2135_001:1227a07	去　誐車又誐哆　  ‧  	去 誐 車 又 誐 哆 
T54n2135_001:1227a08	來　阿誐車又阿誐哆　   ‧   	來 阿 誐 車 又 阿 誐 哆 
T54n2135_001:1227a09	問　鉢哩(二合)車茗　   	問 鉢 哩 二 合 車 茗 
T54n2135_001:1227a10	相向　毘目佉　   	相 向 毘 目 佉 
T54n2135_001:1227a11	親　於也補多賜　   	親 於 也 補 多 賜 
T54n2135_001:1227a12	等　素者　  	等 素 者 
T54n2135_001:1227a13	對面　阿毘目地　    	對 面 阿 毘 目 地 
T54n2135_001:1227a14	何處去　計拏羅誐車栖　      	何 處 去 計 拏 羅 誐 車 栖 
T54n2135_001:1227a15	彼去　怛栖誐車銘　     	彼 去 怛 栖 誐 車 銘 
T54n2135_001:1227a16	流　窣嚕哆　  	流 窣 嚕 哆 
T54n2135_001:1227a17	散　尾鉢囉枳喇曩　    	散 尾 鉢 囉 枳 喇 曩 
T54n2135_001:1227a18	落　跛底哆　   	落 跛 底 哆 
T54n2135_001:1227a19	浮　鉢攞嚩　  	浮 鉢 攞 嚩 
T54n2135_001:1227a20	此　翳賀又翳難又翳哆　  ‧  ‧	此 翳 賀 又 翳 難 又 翳 哆 
T54n2135_001:1227a22	處　薩他多　   	處 薩 他 多 
T54n2135_001:1227a23	方　泥捨又素儞厥數　  ‧   	方 泥 捨 又 素 儞 厥 數 
T54n2135_001:1227a24	名　娜麼　  	名 娜 麼 
T54n2135_001:1227a25	行　薩迦羅　  	行 薩 迦 羅 
T54n2135_001:1227b01	積　句吒　  	積 句 吒 
T54n2135_001:1227b02	[日*下]　阿儞始　   	[日下] 阿 儞 始 
T54n2135_001:1227b03	歸　捨羅曩　   	歸 捨 羅 曩 
T54n2135_001:1227b04	逆　誐訶捨嚕　    	逆 誐 訶 捨 嚕 
T54n2135_001:1227b05	順　阿都路麼　    	順 阿 都 路 麼 
T54n2135_001:1227b06	國　尾沙野　   	國 尾 沙 野 
T54n2135_001:1227b07	急　始竭藍　  	急 始 竭 藍 
T54n2135_001:1227b08	緩　尾娑悌(引)　   	緩 尾 娑 悌 引 
T54n2135_001:1227b09	如　跛他(去)又也儞　  ‧  	如 跛 他 去 又 也 儞 
T54n2135_001:1227b10	聚　散伽哆　   	聚 散 伽 哆 
T54n2135_001:1227b11	散　(前已有)	散 前 已 有 
T54n2135_001:1227b12	滅　(前有之)	滅 前 有 之 
T54n2135_001:1227b13	乏　戍多　  	乏 戍 多 
T54n2135_001:1227b14	息　尾戍麼　   	息 尾 戍 麼 
T54n2135_001:1227b15	東　布[口*栗]嚩　  	東 布 [口栗] 嚩 
T54n2135_001:1227b16	內　毘也捺哆覽　   	內 毘 也 捺 哆 覽 
T54n2135_001:1227b17	外　嚩[口*皿]喇駄　   	外 嚩 [口皿] 喇 駄 
T54n2135_001:1227b18	無始　阿努婆嚩底　     	無 始 阿 努 婆 嚩 底 
T54n2135_001:1227b19	初　阿儞　  	初 阿 儞 
T54n2135_001:1227b20	南　捺乞史(二合)拏　   	南 捺 乞 史 二 合 拏 
T54n2135_001:1227b21	西　跛室制麼　   	西 跛室制麼 
T54n2135_001:1227b22	北　烏多羅　   	北 烏 多 羅 
T54n2135_001:1227b23	上　烏波羅又嗢[口*路]喇駄縛　   ‧	上 烏 波 羅 又 嗢 [口路] 喇 駄 縛 
T54n2135_001:1227b25	下　係瑟姹(二合)麼　   	下 係 瑟 姹 二 合 麼 
T54n2135_001:1227c01	中　寧[亭*夜]也　   	中 寧 [亭夜] 也 
T54n2135_001:1227c02	間　阿娜(重)羅　   	間 阿 娜 重 羅 
T54n2135_001:1227c03	寬　尾悉底(二合)[口*栗]拏(二合)　   	寬 尾 悉 底 二 合 [口栗] 拏 二 合 
T54n2135_001:1227c04	窄　糝但質多　    	窄 糝 但 質 多 
T54n2135_001:1227c05	廣　尾布羅　   	廣 尾 布 羅 
